commune;commune name;population;share s1;share s2;share s3;share s4;share s5;share s6
1;Popular;132991;0.3687;0.6308;0.0005;0.0000;0.0000;0.0000
2;Santa Cruz;114007;0.1347;0.8650;0.0003;0.0000;0.0000;0.0000
3;Manrique;162990;0.2611;0.5864;0.1525;0.0000;0.0000;0.0000
4;Aranjuez;163748;0.1100;0.3439;0.5457;0.0004;0.0000;0.0000
5;Castilla;152158;0.0122;0.1488;0.8243;0.0147;0.0000;0.0000
6;Doce de Octubre;196267;0.1511;0.5854;0.2635;0.0000;0.0000;0.0000
7;Robledo;177874;0.1094;0.4853;0.3067;0.0848;0.0137;0.0001
8;Villa Hermosa;139950;0.3464;0.3915;0.2422;0.0199;0.0000;0.0000
9;Buenos Aires;137533;0.0326;0.2514;0.6054;0.0935;0.0109;0.0062
10;La Candelaria;85841;0.0000;0.0743;0.3598;0.5304;0.0355;0.0000
11;Laureles - Estadio;123389;0.0000;0.0016;0.0088;0.3538;0.6358;0.0000
12;La America;97698;0.0000;0.0216;0.3074;0.4296;0.2414;0.0000
13;San Javier;140758;0.3497;0.3875;0.2122;0.0506;0.0000;0.0000
14;El Poblado;134873;0.0005;0.0168;0.0149;0.0374;0.1864;0.7440
15;Guayabal;96462;0.0061;0.1701;0.5609;0.2629;0.0000;0.0000
16;Belen;197625;0.0182;0.1703;0.3622;0.2376;0.2117;0.0000
18;San Cristobal;112088;0.0945;0.6997;0.1999;0.0037;0.0012;0.0010
19;Altavista;42158;0.1366;0.8345;0.0250;0.0030;0.0007;0.0002
20;San Antonio;130575;0.0234;0.6300;0.3423;0.0035;0.0006;0.0002
21;Santa Elena;21828;0.1131;0.5782;0.2016;0.0561;0.0399;0.0111